"data_trans",,,,,,
27.006,99.7631,67,2.888,44.5625,60,
24.127,44.5625,60,4.148,14.0919,50,
23.477,35.3973,58,4.721,8.8914,46,
19.18,9.9763,47,4.906,2.2334,34,
17.286,5.6101,42,4.874,1.2559,29,
12.663,1.5811,31,4.625,0.44563,20,
12.074,1.4092,30,3.82,0.44563,20,

